,Unnamed: 0,time,x,y,handlabeller_final,source,velocity,unique_saccade_number,norm_time,event_number,start_time,end_time,x_norm,y_norm,velocity_norm,x_norm_up,x_z_trans,velocity_z_trans
0,116388,17324,23.5578149771,21.3384067557,2,./gazecom_small/all_features\beach\JSH_beach.arff,20.0774314477,69,0,6,4302,4307,-1.1574538573166713,-0.07703625779999967,-72.3139988915,-1.1574538573166713,-1.501343583263842,-1.0080905627275005
1,116389,17328,23.882513253899997,21.3269468165,2,./gazecom_small/all_features\beach\JSH_beach.arff,81.22499293359999,69,4,6,4302,4307,-0.8327555805166753,-0.08849619699999778,-11.166437405600007,-0.8327555805166753,-1.0801745912656315,-0.15566529773526155
2,116390,17332,24.5777495642,21.3269468165,2,./gazecom_small/all_features\beach\JSH_beach.arff,173.80907758360001,69,8,6,4302,4307,-0.13751927021667143,-0.08849619699999778,81.41764724440002,-0.13751927021667143,-0.17837745548972905,1.1349996277996437
3,116391,17336,25.3684853678,21.304026938099998,2,./gazecom_small/all_features\beach\JSH_beach.arff,197.7668444382,69,12,6,4302,4307,0.6532165333833291,-0.11141607540000109,105.375414099,0.6532165333833291,0.8472929133870519,1.4689819692600439
4,116392,17340,25.441064982600004,21.5981653771,2,./gazecom_small/all_features\beach\JSH_beach.arff,75.7402660414,69,16,6,4302,4307,0.7257961481833313,0.18272236359999994,-16.651164297799994,0.7257961481833313,0.9414365704036378,-0.23212492524750036
5,116393,17344,25.463984860900002,21.5981653771,2,./gazecom_small/all_features\beach\JSH_beach.arff,5.729969590700001,69,20,6,4302,4307,0.7487160264833292,0.18272236359999994,-86.6614607485,0.7487160264833292,0.971166146228513,-1.208100811349425
6,123106,4128,17.3809077584,13.774846896,2,./gazecom_small/all_features\beach\KKB_beach.arff,192.33597926009998,73,0,0,1002,1007,-2.363294124500001,-0.3902745954333344,21.344709722149986,-2.363294124500001,-1.89844234480738,0.13276458087291543
7,123107,4132,18.7904802777,14.0804452741,2,./gazecom_small/all_features\beach\KKB_beach.arff,360.5797283794,73,4,0,1002,1007,-0.9537216052000019,-0.08467621733333353,189.58845884145003,-0.9537216052000019,-0.7661278643649196,1.1792445343169446
8,123108,4136,20.3834118239,14.256164341600002,2,./gazecom_small/all_features\beach\KKB_beach.arff,400.64711373910006,73,8,0,1002,1007,0.6392099410000007,0.09104285016666758,229.65584420115007,0.6392099410000007,0.513479556622251,1.4284645843059098
9,123109,4140,20.5820507697,14.290544159100001,2,./gazecom_small/all_features\beach\KKB_beach.arff,50.3981385337,73,12,0,1002,1007,0.8378488867999998,0.1254226676666672,-120.59313100424998,0.8378488867999998,0.6730469088723227,-0.750092022910826
